iter	MAPE
0	0.9998344813
1	0.9996686389
2	0.9995030677
3	0.9993372887
4	0.999172074
5	0.9990061542
6	0.9988402643
7	0.9986745224
8	0.9985085959
9	0.9983428665
10	0.9981776906
11	0.9980121145
12	0.9978465879
13	0.997680984
14	0.9975156237
15	0.9973497251
16	0.9971840078
17	0.9970186498
18	0.9968527292
19	0.9966872386
20	0.9965213354
21	0.9963554155
22	0.9961901107
23	0.9960242403
24	0.9958583204
25	0.9956923583
26	0.9955272035
27	0.9953614828
28	0.9951956014
29	0.9950301037
30	0.9948648397
31	0.9946993892
32	0.9945335152
33	0.9943676786
34	0.9942017787
35	0.9940365041
36	0.9938708181
37	0.9937052792
38	0.9935395352
39	0.9933740759
40	0.9932088022
41	0.9930429167
42	0.9928769815
43	0.9927113124
44	0.9925455276
45	0.9923800706
46	0.9922146508
47	0.9920489674
48	0.9918830674
49	0.9917177067
50	0.9915518034
51	0.9913861414
52	0.9912204668
53	0.9910553326
54	0.9908895542
55	0.9907237413
56	0.990557838
57	0.9903924472
58	0.9902268102
59	0.9900612545
60	0.989895456
61	0.9897297789
62	0.9895643608
63	0.989398441
64	0.9892327491
65	0.9890671625
66	0.9889014663
67	0.988735896
68	0.9885700433
69	0.9884048738
70	0.9882392106
71	0.9880737315
72	0.9879078283
73	0.9877424822
74	0.9875765433
75	0.9874106234
76	0.9872448131
77	0.9870791812
78	0.9869132786
79	0.98674759
80	0.9865817865
81	0.9864163599
82	0.9862507365
83	0.9860847744
84	0.9859188751
85	0.9857533361
86	0.9855875613
87	0.9854217797
88	0.9852566637
89	0.985090997
90	0.9849251208
91	0.9847593926
92	0.9845940964
93	0.9844284626
94	0.98426303
95	0.9840973505
96	0.9839316653
97	0.9837661006
98	0.9836004914
99	0.9834349099
100	0.9832692131
101	0.9831038078
102	0.9829380205
103	0.9827724074
104	0.9826075117
105	0.9824416275
106	0.9822759356
107	0.9821103405
108	0.9819452179
109	0.9817793809
110	0.981613901
111	0.9814484333
112	0.9812828688
113	0.9811169473
114	0.9809511863
115	0.9807856332
116	0.980620317
117	0.9804547074
118	0.9802892154
119	0.9801236144
120	0.9799578462
121	0.9797919562
122	0.9796261295
123	0.9794603065
124	0.9792944418
125	0.9791288771
126	0.9789630082
127	0.9787970883
128	0.9786313702
129	0.9784658858
130	0.9783000066
131	0.9781342011
132	0.9779682812
133	0.977802319
134	0.9776367085
135	0.9774707886
136	0.9773052279
137	0.9771393393
138	0.9769734201
139	0.9768074938
140	0.9766417915
141	0.9764759842
142	0.976310281
143	0.9761444571
144	0.9759789373
145	0.9758130167
146	0.9756474278
147	0.9754815079
148	0.9753157642
149	0.9751497872
150	0.974984269
151	0.9748188214
152	0.9746529228
153	0.9744876695
154	0.974322073
155	0.9741564195
156	0.9739905753
157	0.9738248795
158	0.9736590179
159	0.9734934978
160	0.9733275906
161	0.9731622511
162	0.9729967588
163	0.97283114
164	0.9726653652
165	0.9724995424
166	0.9723338642
167	0.9721683219
168	0.9720028281
169	0.9718372146
170	0.9716718762
171	0.9715059499
172	0.9713400467
173	0.9711745343
174	0.9710091279
175	0.9708432526
176	0.9706776224
177	0.9705121043
178	0.9703463787
179	0.9701804688
180	0.9700147989
181	0.969849501
182	0.9696837314
183	0.969518304
184	0.9693524567
185	0.9691865579
186	0.9690206699
187	0.96885475
188	0.9686895196
189	0.9685237816
190	0.9683587192
191	0.9681931221
192	0.9680272235
193	0.9678614273
194	0.9676956902
195	0.967529728
196	0.9673640324
197	0.9671984145
198	0.9670327583
199	0.9668668384
200	0.9667014118
201	0.9665356822
202	0.9663699362
203	0.9662039565
204	0.9660381558
205	0.9658723367
206	0.9657065614
207	0.9655415802
208	0.9653758767
209	0.9652099569
210	0.9650445824
211	0.9648789182
212	0.96471292
213	0.9645471157
214	0.9643813677
215	0.9642154231
216	0.9640495032
217	0.9638837614
218	0.9637179479
219	0.963552242
220	0.9633863436
221	0.9632204237
222	0.9630546818
223	0.9628893267
224	0.9627234004
225	0.9625577482
226	0.9623924401
227	0.9622265202
228	0.9620606132
229	0.9618948352
