iter	Passed	Remaining
0	38	38539
1	65	32476
2	104	34835
3	135	33668
4	174	34654
5	179	29816
6	197	27948
7	233	28987
8	256	28249
9	297	29461
10	334	30040
11	368	30360
12	409	31127
13	447	31522
14	486	31954
15	498	30634
16	536	31009
17	577	31512
18	595	30744
19	635	31154
20	647	30174
21	653	29039
22	692	29435
23	716	29151
24	722	28195
25	734	27509
26	776	27968
27	811	28172
28	828	27726
29	866	28030
30	904	28269
31	946	28631
32	964	28254
33	997	28329
34	1006	27757
35	1044	27980
36	1080	28131
37	1117	28291
38	1146	28255
39	1189	28549
40	1227	28704
41	1243	28374
42	1267	28213
43	1305	28356
44	1330	28241
45	1368	28378
46	1404	28483
47	1440	28579
48	1452	28194
49	1487	28266
50	1497	27864
51	1534	27975
52	1571	28072
53	1608	28184
54	1637	28143
55	1660	27990
56	1670	27640
57	1709	27768
58	1744	27822
59	1775	27818
60	1806	27814
61	1837	27795
62	1874	27883
63	1880	27507
64	1919	27610
65	1956	27688
66	1993	27763
67	2029	27809
68	2052	27696
69	2091	27792
70	2127	27840
71	2161	27857
72	2170	27568
73	2209	27651
74	2233	27549
75	2240	27234
76	2262	27116
77	2298	27170
78	2308	26909
79	2339	26902
80	2365	26836
81	2402	26899
82	2438	26943
83	2450	26717
84	2461	26501
85	2504	26620
86	2546	26722
87	2570	26644
88	2612	26739
89	2647	26771
90	2666	26631
91	2706	26709
92	2745	26775
93	2783	26832
94	2826	26923
95	2861	26949
96	2899	26989
97	2937	27040
98	2976	27088
99	3011	27107
100	3043	27093
101	3082	27138
102	3112	27109
103	3147	27116
104	3186	27159
105	3210	27074
106	3248	27111
107	3287	27149
108	3326	27191
109	3361	27200
110	3403	27256
111	3441	27285
112	3480	27319
113	3508	27270
114	3548	27307
115	3586	27328
116	3625	27363
117	3668	27419
118	3707	27448
119	3741	27437
120	3779	27453
121	3797	27332
122	3820	27240
123	3858	27259
124	3873	27112
125	3914	27150
126	3934	27043
127	3940	26842
128	3976	26846
129	4012	26854
130	4029	26728
131	4063	26719
132	4069	26527
133	4078	26360
134	4116	26378
135	4122	26192
136	4163	26227
137	4178	26102
138	4190	25955
139	4199	25797
140	4230	25770
141	4260	25744
142	4294	25738
143	4322	25696
144	4357	25696
145	4374	25589
146	4408	25582
147	4415	25417
148	4450	25421
149	4479	25384
150	4512	25369
151	4548	25376
152	4560	25245
153	4603	25288
154	4639	25293
155	4681	25326
156	4716	25327
157	4757	25350
158	4786	25319
159	4822	25319
160	4846	25253
161	4885	25271
162	4923	25283
163	4956	25266
164	4987	25240
165	5015	25197
166	5052	25200
167	5086	25188
168	5119	25174
169	5147	25130
170	5185	25141
171	5196	25013
172	5206	24889
173	5247	24908
174	5284	24913
175	5300	24818
176	5338	24823
177	5374	24819
178	5414	24836
179	5429	24734
180	5462	24715
181	5496	24704
182	5526	24674
183	5563	24675
184	5599	24666
185	5609	24547
186	5627	24465
187	5639	24355
188	5678	24364
189	5704	24318
190	5737	24302
191	5770	24286
192	5800	24254
193	5821	24186
194	5856	24177
195	5867	24068
196	5906	24077
197	5946	24087
198	5983	24086
199	5990	23960
200	6029	23966
201	6059	23937
202	6102	23959
203	6124	23896
204	6162	23896
205	6198	23891
206	6223	23841
207	6259	23834
208	6298	23837
209	6304	23716
210	6337	23697
